Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-1-O-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.16,84.54,91.08,75.48,43.7,100.0,2018,1
IR-2-O-OE-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,81.39,82.49,81.42,85.36,64.81,86.61,2018,2
IR-3-O-OEM-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,79.2,81.34,85.59,81.53,48.53,79.61,2018,3
IR-3-O-OEM-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,73.97,73.38,78.67,74.91,60.96,72.79,2018,4
IR-5-O-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.39,67.96,74.57,83.99,56.16,62.12,2018,5
IR-1-O-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.57,74.71,42.6,99.12,79.32,46.28,2018,6
IR-3-O-OEM-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,65.39,71.71,68.63,62.76,39.81,67.59,2018,7
IR-4-O-OEMA-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,64.93,65.88,61.59,85.29,58.65,37.56,2018,8
IR-3-O-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.52,65.15,50.76,95.42,53.13,43.62,2018,9
IR-4-O-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,62.82,57.31,60.76,79.15,52.55,63.22,2018,10
IR-1-O-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.54,74.36,45.34,84.45,55.71,21.66,2018,11
IR-2-O-OE-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,60.16,79.25,52.13,63.2,52.97,28.01,2018,12
IR-2-O-OE-U-0575,Jadavpur University,Kolkata,West Bengal,59.68,57.08,57.07,91.39,36.0,35.5,2018,13
IR-1-O-O-U-0120,University of Delhi,Delhi,Delhi,58.69,52.52,58.16,85.14,51.26,33.15,2018,14
IR-1-O-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,58.46,74.05,43.56,71.03,58.27,31.44,2018,15
IR-1-O-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.24,70.7,43.64,84.55,55.29,15.04,2018,16
IR-7-O-OEMALDC-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.78,70.28,36.87,90.56,49.03,26.3,2018,17
IR-1-O-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,57.37,76.05,44.15,61.29,64.23,26.3,2018,18
IR-5-O-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,56.18,72.33,33.21,82.27,68.86,11.76,2018,19
IR-1-O-C-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.08,65.54,41.7,76.95,52.63,22.63,2018,20
IR-1-O-O-U-0570,Calcutta University,Kolkata,West Bengal,53.38,45.47,50.26,86.81,46.72,26.3,2018,21
IR-2-O-OE-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,53.07,71.72,35.33,65.12,57.08,22.15,2018,22
IR-1-O-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,52.73,83.08,29.71,62.7,59.66,3.93,2018,23
IR-3-O-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,52.68,50.3,47.42,68.43,60.02,36.71,2018,24
IR-1-O-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,52.52,70.87,35.6,65.91,62.92,11.13,2018,25
IR-3-O-OEP-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,52.15,61.02,35.56,69.33,57.73,35.32,2018,26
IR-2-O-OE-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,52.04,54.46,44.24,74.36,61.08,14.46,2018,27
IR-1-O-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,51.85,57.85,48.53,67.0,42.5,22.87,2018,28
IR-1-O-O-I-1357,University of Madras,Chennai,Tamil Nadu,51.52,66.06,33.4,68.6,53.07,26.52,2018,29
IR-3-O-OEP-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,51.39,53.82,48.52,69.18,52.55,15.9,2018,30
IR-2-O-OE-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51.38,57.09,34.41,69.99,60.81,38.55,2018,31
IR-1-O-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,51.04,66.57,33.04,61.4,62.86,25.85,2018,32
IR-6-O-OEMLDP-U-0078,Panjab University,Chandigarh,Chandigarh,50.94,52.59,44.75,73.16,47.52,23.58,2018,33
IR-1-O-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,50.87,82.44,14.54,61.99,66.05,27.8,2018,34
IR-1-O-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,50.74,70.22,29.22,63.76,79.16,2.4,2018,35
IR-6-O-OEMALP-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,50.39,65.98,25.12,83.14,54.75,9.53,2018,36
IR-5-O-OEMDP-U-0107,Jamia Hamdard,New Delhi,Delhi,50.31,67.67,32.29,74.48,52.2,2.01,2018,37
IR-2-O-OD-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,49.59,74.34,23.4,66.21,63.07,7.17,2018,38
IR-2-O-OE-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,49.31,73.72,27.29,56.79,60.47,15.9,2018,39
IR-1-O-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,49.22,78.6,12.99,75.58,54.06,12.07,2018,40
IR-1-O-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,48.98,84.14,14.18,70.13,44.74,9.85,2018,41
IR-2-O-OE-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,48.62,55.85,41.93,69.73,43.4,9.85,2018,42
IR-1-O-C-U-0435,Alagappa University,Karaikudi,Tamil Nadu,48.25,65.74,22.27,70.4,53.19,24.5,2018,43
IR-2-O-OE-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,48.06,60.01,35.5,64.06,43.37,22.63,2018,44
IR-1-O-O-U-0027,Osmania University,Hyderabad,Telangana,48.02,55.09,25.9,93.35,44.69,5.76,2018,45
IR-1-O-O-U-0056,Tezpur University,Tezpur,Assam,48.0,66.61,30.54,65.26,47.3,10.82,2018,46
IR-1-O-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,47.72,65.16,19.8,83.76,47.6,7.17,2018,47
IR-1-O-O-U-0589,Visva Bharati,Kolkata,West Bengal,47.62,63.49,27.44,72.24,53.87,5.03,2018,48
IR-1-O-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,47.46,68.98,9.77,78.3,71.56,10.18,2018,49
IR-2-O-EM-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,47.11,58.24,34.97,65.36,57.27,3.55,2018,50
IR-2-O-OE-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,47.07,70.95,28.14,52.36,59.78,8.87,2018,51
IR-1-O-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,46.56,64.21,22.89,72.84,51.76,6.82,2018,52
IR-1-O-O-U-0554,G. B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,46.56,72.14,15.04,75.45,48.16,5.03,2018,52
IR-4-O-OEML-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,46.33,53.44,34.57,64.43,58.95,11.45,2018,54
IR-1-O-O-U-0377,Indian Institute of Science Education & Research Mohali,Mohali,Punjab,46.24,63.32,21.34,63.29,65.05,16.73,2018,55
IR-1-O-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,46.17,61.55,26.6,62.83,63.71,7.86,2018,56
IR-2-O-OE-U-0237,National Institute of Technology Surathkal,Surathkal,Karnataka,46.14,52.66,29.51,68.64,51.71,25.85,2018,57
IR-1-O-O-U-0254,Indian Institute of Science Education & Research Thiruvananthapuram,Thiruvananthapuram,Kerala,45.97,69.8,20.45,59.51,47.58,22.39,2018,58
IR-2-O-OP-U-0222,JSS Academy of Higher Education and Research,Mysore,Karnataka,45.76,69.0,17.24,61.89,68.65,6.47,2018,59
IR-1-O-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,45.56,80.46,19.35,54.02,42.72,5.4,2018,60
IR-1-O-O-U-0052,Gauhati University,Guwahati,Assam,45.44,64.91,19.8,74.9,44.44,6.11,2018,61
IR-3-O-ODP-I-1486,Sri Ramachandra Medical College and Research Institute,Chennai,Tamil Nadu,45.29,76.9,19.5,51.41,55.1,5.76,2018,62
IR-5-O-OEMDP-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,45.17,56.87,28.54,64.68,57.57,8.53,2018,63
IR-3-O-OEM-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,44.94,62.6,16.92,61.14,49.77,38.71,2018,64
IR-5-O-OEMLD-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,44.81,57.32,22.53,69.57,65.94,3.55,2018,65
IR-5-O-OEMAP-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,44.71,57.73,29.45,61.31,52.43,10.5,2018,66
IR-1-O-O-U-0329,Symbiosis International,Pune,Maharashtra,44.62,69.88,12.46,60.9,71.23,6.11,2018,67
IR-4-O-OEMA-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,44.34,52.38,29.43,65.31,63.14,4.3,2018,68
IR-2-O-OE-U-0064,Indian Institute of Technology Patna,Patna,Bihar,44.25,67.81,25.42,52.87,49.93,7.17,2018,69
IR-2-O-OD-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,44.0,65.4,18.67,60.34,63.92,3.17,2018,70
IR-1-O-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,43.96,62.39,20.08,77.61,36.99,0.0,2018,71
IR-1-O-O-U-0642,Shiv Nadar University,Chithera,Uttar Pradesh,43.68,69.21,12.55,60.17,71.18,0.0,2018,72
IR-1-O-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,43.6,62.51,20.31,62.21,52.43,10.82,2018,73
IR-2-O-OE-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,43.44,60.43,25.94,61.66,50.03,2.01,2018,74
IR-1-O-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,43.24,82.71,2.12,58.65,50.06,10.5,2018,75
IR-1-O-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,43.21,78.3,8.04,65.06,41.03,2.01,2018,76
IR-3-O-OML-U-0195,University of Jammu,Jammu Tawi,Jammu and Kashmir,43.19,65.22,18.9,69.46,39.44,1.22,2018,77
IR-2-O-OE-U-0025,National Institute of Technology Warangal,Warangal,Telangana,43.16,56.18,22.73,67.06,54.72,6.11,2018,78
